task_id,param_id,param_name,variance_contribution
9983,max. depth,max. depth,0.5636502747597587
9983,learning rate,learning rate,0.1348225226846987
9983,learning rate / max. depth,learning rate / max. depth,0.03020713603442604
9983,algorithm / max. depth,algorithm / max. depth,0.0269561880333532
9983,algo. / learning r. / max. depth,algo. / learning r. / max. depth,0.03488768545343751
9983,algorithm,algorithm,0.125439731529011
9983,iterations,iterations,0.011970376495224163
9983,imputation,imputation,0.0003754344394759774
9985,max. depth,max. depth,0.7679526800472021
9985,learning rate,learning rate,0.04680719093531584
9985,learning rate / max. depth,learning rate / max. depth,0.041175033174061904
9985,algorithm / max. depth,algorithm / max. depth,0.013550470811694248
9985,algo. / learning r. / max. depth,algo. / learning r. / max. depth,0.017223688735950177
9985,algorithm,algorithm,0.024635130964249734
9985,iterations,iterations,0.01298772996823009
9985,imputation,imputation,0.0003878355442633468
3913,max. depth,max. depth,0.22653691835172735
3913,learning rate,learning rate,0.28193382358126456
3913,learning rate / max. depth,learning rate / max. depth,0.07368388918342705
3913,algorithm / max. depth,algorithm / max. depth,0.139029964936695
3913,algo. / learning r. / max. depth,algo. / learning r. / max. depth,0.03340636649521905
3913,algorithm,algorithm,0.029789375931631473
3913,iterations,iterations,0.014803341267234042
3913,imputation,imputation,0.0019488612145152563
146195,max. depth,max. depth,0.574206212850297
146195,learning rate,learning rate,0.09355566646454518
146195,learning rate / max. depth,learning rate / max. depth,0.042211807784936384
146195,algorithm / max. depth,algorithm / max. depth,0.03687392798250144
146195,algo. / learning r. / max. depth,algo. / learning r. / max. depth,0.04440379052424118
146195,algorithm,algorithm,0.0978488253486439
146195,iterations,iterations,0.023040926947658448
146195,imputation,imputation,0.0005834508462546716
34537,max. depth,max. depth,0.553568843801492
34537,learning rate,learning rate,0.05516155685524092
34537,learning rate / max. depth,learning rate / max. depth,0.017072417096822834
34537,algorithm / max. depth,algorithm / max. depth,0.08969792817371425
34537,algo. / learning r. / max. depth,algo. / learning r. / max. depth,0.020607350552830972
34537,algorithm,algorithm,0.20575342162253338
34537,iterations,iterations,0.006513646648559097
34537,imputation,imputation,0.00032143577038673944
34536,max. depth,max. depth,0.3434207070486003
34536,learning rate,learning rate,0.2559053319620244
34536,learning rate / max. depth,learning rate / max. depth,0.12364435860263762
34536,algorithm / max. depth,algorithm / max. depth,0.046631609247101524
34536,algo. / learning r. / max. depth,algo. / learning r. / max. depth,0.02575977713907429
34536,algorithm,algorithm,0.0010749410738678613
34536,iterations,iterations,0.03556334025738811
34536,imputation,imputation,0.0008659392315873713
9957,max. depth,max. depth,0.2705375902077129
9957,learning rate,learning rate,0.16689350326117613
9957,learning rate / max. depth,learning rate / max. depth,0.1093422232009868
9957,algorithm / max. depth,algorithm / max. depth,0.19617586879863308
