% {"flow_id": 6969, "openml_server": "https://www.openml.org/api/v1/xml", "col_parameters": ["classifier__bootstrap", "classifier__criterion", "classifier__max_depth", "classifier__max_features", "classifier__max_leaf_nodes", "classifier__min_samples_leaf", "classifier__min_samples_split", "classifier__min_weight_fraction_leaf", "classifier__n_estimators", "imputation__strategy"], "col_measures": ["predictive_accuracy"], "normalized_y": false, "study_id": "OpenML100", "num_runs": 500}
@RELATION openml-meta-flow-6969

@ATTRIBUTE classifier__bootstrap {True, False}
@ATTRIBUTE classifier__criterion {entropy, gini}
@ATTRIBUTE classifier__max_depth {None}
@ATTRIBUTE classifier__max_features NUMERIC
@ATTRIBUTE classifier__max_leaf_nodes {None}
@ATTRIBUTE classifier__min_samples_leaf {18, 20, 2, 7, 3, 6, 16, 14, 9, 15, 4, 8, 17, 12, 10, 13, 5, 11, 19, 1}
@ATTRIBUTE classifier__min_samples_split {9, 19, 15, 2, 4, 10, 18, 20, 5, 8, 3, 17, 7, 14, 6, 12, 16, 11, 13}
@ATTRIBUTE classifier__min_weight_fraction_leaf NUMERIC
@ATTRIBUTE classifier__n_estimators {100}
@ATTRIBUTE imputation__strategy {median, most_frequent, mean}
@ATTRIBUTE y NUMERIC
@ATTRIBUTE task_id NUMERIC

@DATA
False,gini,None,0.6041753368950828,None,6,4,0.0,100,mean,0.989362,3
False,entropy,None,0.5512557377398152,None,7,2,0.0,100,most_frequent,0.988423,3
False,entropy,None,0.7751528030456319,None,9,6,0.0,100,mean,0.981852,3
True,gini,None,0.3326412554326603,None,8,6,0.0,100,median,0.983417,3
True,gini,None,0.877352329853019,None,13,4,0.0,100,mean,0.976533,3
True,gini,None,0.46082930558234925,None,17,12,0.0,100,mean,0.969024,3
False,gini,None,0.19630448730203132,None,2,5,0.0,100,median,0.994368,3
True,gini,None,0.389920158030716,None,18,2,0.0,100,median,0.968085,3
True,entropy,None,0.42997500959777335,None,1,18,0.0,100,most_frequent,0.993429,3
True,entropy,None,0.7479411485075577,None,13,12,0.0,100,mean,0.977785,3
False,entropy,None,0.11773265413483297,None,15,14,0.0,100,mean,0.97184,3
True,entropy,None,0.4513375011358618,None,14,15,0.0,100,median,0.974656,3
False,gini,None,0.7701584235833121,None,8,9,0.0,100,most_frequent,0.979349,3
False,entropy,None,0.30478313702790527,None,20,11,0.0,100,most_frequent,0.973091,3
False,entropy,None,0.8750330334618109,None,15,15,0.0,100,median,0.977785,3
True,entropy,None,0.45797561679820287,None,14,4,0.0,100,median,0.974343,3
False,entropy,None,0.4794638197586095,None,3,7,0.0,100,most_frequent,0.993116,3
False,gini,None,0.5409143756550436,None,5,12,0.0,100,mean,0.992491,3
True,entropy,None,0.4272898801215419,None,5,14,0.0,100,median,0.989049,3
True,gini,None,0.34731826516563735,None,20,18,0.0,100,most_frequent,0.967459,3
False,gini,None,0.8862297924695755,None,4,3,0.0,100,mean,0.991552,3
True,entropy,None,0.2090523694307609,None,11,15,0.0,100,median,0.973404,3
True,entropy,None,0.2059854975122778,None,10,2,0.0,100,most_frequent,0.97622,3
True,entropy,None,0.26373160274398033,None,19,19,0.0,100,mean,0.967146,3
False,gini,None,0.8830084452016344,None,1,11,0.0,100,mean,0.994994,3
True,entropy,None,0.5408695601142289,None,18,3,0.0,100,mean,0.969024,3
False,gini,None,0.8947190105632105,None,19,20,0.0,100,median,0.975907,3
True,gini,None,0.1112099075045049,None,9,9,0.0,100,mean,0.972153,3
False,gini,None,0.6770109189616338,None,16,2,0.0,100,median,0.977159,3
False,gini,None,0.8165279043590578,None,13,2,0.0,100,most_frequent,0.975907,3
True,entropy,None,0.5334513505024037,None,16,10,0.0,100,mean,0.972466,3
True,entropy,None,0.5555679528686323,None,17,18,0.0,100,median,0.971214,3
True,entropy,None,0.7594833355005932,None,2,7,0.0,100,mean,0.993429,3
True,entropy,None,0.5790888787448378,None,16,14,0.0,100,most_frequent,0.970275,3
True,gini,None,0.5259476165950979,None,13,6,0.0,100,most_frequent,0.974969,3
True,entropy,None,0.462314344348172,None,6,7,0.0,100,mean,0.986546,3
False,entropy,None,0.6837756802365643,None,8,8,0.0,100,mean,0.98373,3
True,entropy,None,0.3940269985159105,None,1,12,0.0,100,most_frequent,0.994681,3
False,gini,None,0.7823268405598627,None,15,10,0.0,100,median,0.977472,3
