% {"flow_id": 6970, "openml_server": "https://www.openml.org/api/v1/xml", "col_parameters": ["adaboostclassifier__algorithm", "adaboostclassifier__learning_rate", "adaboostclassifier__base_estimator__max_depth", "adaboostclassifier__n_estimators", "columntransformer__numeric__imputer__strategy"], "col_measures": ["predictive_accuracy"], "normalized_y": false, "study_id": "OpenML100", "num_runs": 400}
@RELATION openml-meta-flow-6970

@ATTRIBUTE adaboostclassifier__algorithm {SAMME, SAMME.R}
@ATTRIBUTE adaboostclassifier__learning_rate NUMERIC
@ATTRIBUTE adaboostclassifier__base_estimator__max_depth NUMERIC
@ATTRIBUTE adaboostclassifier__n_estimators NUMERIC
@ATTRIBUTE columntransformer__numeric__imputer__strategy {median, mean, most_frequent}
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE task_id NUMERIC

@DATA
SAMME.R,0.08553921256561206,7,133,median,0.967616,28
SAMME,0.012473972645321506,10,493,most_frequent,0.978826,28
SAMME,0.1653223795178535,6,169,median,0.984342,28
SAMME,0.02536469290519524,4,473,most_frequent,0.975267,28
SAMME.R,0.5197721119790277,7,153,median,0.975267,28
SAMME,1.03997008092776,9,330,most_frequent,0.988078,28
SAMME.R,0.02032046082555842,8,450,mean,0.967616,28
SAMME,0.5522079570162124,9,431,most_frequent,0.987011,28
SAMME,0.11013289638576414,10,169,median,0.982918,28
SAMME,0.013492544375008622,6,495,median,0.981139,28
SAMME.R,0.48531937747617004,9,122,median,0.979715,28
SAMME,0.05249604960028314,1,494,mean,0.757295,28
SAMME,0.6739041318189635,1,116,most_frequent,0.864057,28
SAMME,0.14973873122955747,6,494,most_frequent,0.983808,28
SAMME.R,0.05369477314485917,9,261,median,0.969929,28
SAMME,0.2446943074772181,10,352,most_frequent,0.983986,28
SAMME.R,0.18816413495103593,1,272,most_frequent,0.855694,28
SAMME,1.8150669523370913,7,322,mean,0.986833,28
SAMME.R,1.1358294316353341,4,322,most_frequent,0.962456,28
SAMME,0.045727817716798465,1,206,most_frequent,0.692527,28
SAMME.R,0.11942811721432339,6,369,median,0.966014,28
SAMME.R,0.030609087655388653,1,52,most_frequent,0.757117,28
SAMME.R,0.04997527157102243,1,439,mean,0.852669,28
SAMME.R,0.045415117660527846,1,246,most_frequent,0.85,28
SAMME.R,0.014691861839440693,4,218,most_frequent,0.911744,28
SAMME,1.4942822301857936,5,210,most_frequent,0.981851,28
SAMME,0.027181332051417144,3,439,most_frequent,0.958897,28
SAMME,1.662726778826253,2,176,mean,0.938434,28
SAMME.R,0.5882511971034763,2,153,mean,0.896975,28
SAMME,0.3716086087543659,3,134,most_frequent,0.971352,28
SAMME,1.888232847743281,2,205,most_frequent,0.930783,28
SAMME,0.03043954937180492,4,155,mean,0.962811,28
SAMME,1.0003106998976792,8,249,median,0.986655,28
SAMME.R,1.0160512708161447,5,404,most_frequent,0.970996,28
SAMME,1.2629231184960974,9,178,median,0.987367,28
SAMME,0.5758218062683028,5,130,most_frequent,0.983452,28
SAMME,0.05164090072839743,4,79,most_frequent,0.959253,28
SAMME.R,0.04644265498163806,9,287,most_frequent,0.967438,28
SAMME,0.022139908837520643,4,436,most_frequent,0.974021,28
SAMME.R,1.9228054145611804,6,115,median,0.971352,28
SAMME.R,0.4260469332396351,7,166,mean,0.970641,28
SAMME,0.05129325587397488,8,220,mean,0.982918,28
SAMME,1.1329503105132326,7,293,median,0.987189,28
SAMME,0.9957559145091736,8,59,most_frequent,0.985943,28
SAMME.R,0.46935866914963553,1,444,mean,0.865836,28
SAMME,0.01701207015602173,2,488,median,0.891993,28
SAMME,1.4298983725464087,7,247,median,0.985765,28
SAMME.R,0.012937449135505652,10,313,mean,0.963523,28
SAMME,0.17396426099165888,4,128,most_frequent,0.977046,28
SAMME.R,0.3796438356852947,2,143,median,0.872242,28
SAMME,0.04102296282743452,9,445,median,0.98363,28
SAMME.R,0.055855458094048384,7,451,median,0.972598,28
SAMME.R,1.1621253389694362,3,402,most_frequent,0.948399,28
SAMME.R,1.1084898625829522,6,104,median,0.971886,28
SAMME,0.2496873567999612,6,290,most_frequent,0.985943,28
SAMME.R,1.8775844264271129,3,413,most_frequent,0.95694,28
SAMME,0.4674035979841278,7,221,most_frequent,0.985053,28
SAMME,0.15402053645351682,2,403,median,0.951423,28
SAMME,0.020492505180296137,4,356,most_frequent,0.970819,28
SAMME.R,0.6736360393471245,7,474,mean,0.985587,28
SAMME.R,0.17739838835837185,7,441,most_frequent,0.970819,28
SAMME.R,0.7413674043665832,8,208,most_frequent,0.984342,28
SAMME.R,0.03795193966665698,4,87,mean,0.903737,28
SAMME.R,0.07432767313123423,9,74,most_frequent,0.967438,28
SAMME.R,0.730573215829881,5,136,most_frequent,0.971886,28
SAMME.R,0.21237742974528825,1,335,median,0.848932,28
SAMME.R,0.16036662099929527,1,295,median,0.853025,28
SAMME,1.2431854007692538,5,322,most_frequent,0.985053,28
SAMME,0.6112979565003804,4,442,mean,0.982384,28
SAMME,1.070875265077421,3,306,most_frequent,0.971708,28
SAMME.R,0.5219069803770476,1,68,median,0.845196,28
SAMME,0.015333067710182514,7,462,most_frequent,0.980249,28
SAMME.R,0.01282218975811924,7,187,most_frequent,0.965125,28
SAMME.R,0.13246064866572133,7,394,mean,0.969395,28
SAMME.R,0.04445694924292461,5,56,median,0.941815,28
SAMME,0.18011068380028178,2,293,median,0.951601,28
SAMME.R,0.3254796579739225,1,370,most_frequent,0.848399,28
SAMME,1.7904716450742966,8,286,most_frequent,0.986299,28
SAMME,0.8079700713079262,7,166,mean,0.986833,28
SAMME.R,0.02870597647945668,4,470,most_frequent,0.911744,28
SAMME,0.12525911637055834,6,437,mean,0.98452,28
SAMME,0.4924027450167558,3,332,most_frequent,0.974733,28
SAMME,0.05261601302765854,5,306,mean,0.980071,28
SAMME.R,0.017606964123357976,9,472,most_frequent,0.969751,28
SAMME.R,0.8926165683751568,6,423,median,0.981139,28
SAMME,0.01598939443545814,4,493,median,0.970996,28
SAMME.R,0.025831175291448825,2,483,median,0.849644,28
SAMME.R,0.0570832538013769,10,299,median,0.970463,28
SAMME.R,0.9611870350886752,2,308,most_frequent,0.925089,28
SAMME,0.0223350370958781,6,468,most_frequent,0.981317,28
SAMME,0.11464618526479937,2,175,median,0.932206,28
SAMME.R,1.5711408217990543,5,224,mean,0.971886,28
SAMME,0.013143488499835109,8,224,median,0.979004,28
SAMME.R,0.1072668587773974,10,382,median,0.972064,28
SAMME,0.17199971798182911,3,214,median,0.971708,28
SAMME.R,0.5481848351611285,6,162,most_frequent,0.977758,28
SAMME,0.8635059834938285,6,402,median,0.985765,28
SAMME,0.28370358476477014,1,219,median,0.835053,28
SAMME.R,0.9830121664577549,8,150,most_frequent,0.984698,28
SAMME.R,0.992531561803773,5,315,mean,0.975445,28
SAMME.R,0.31994410874053536,4,316,mean,0.954448,28
SAMME,1.4115672563608923,8,454,most_frequent,0.988612,28
SAMME,0.11237147413056463,3,80,median,0.951068,28
SAMME,0.26368173881789664,9,425,most_frequent,0.984698,28
SAMME,0.021753720560623618,4,78,mean,0.941815,28
SAMME.R,0.2389794595066208,5,339,most_frequent,0.960854,28
SAMME.R,0.18851780255892908,7,60,most_frequent,0.96726,28
SAMME.R,0.16168580218751713,2,469,most_frequent,0.870819,28
SAMME,0.26625982582395824,5,115,most_frequent,0.982206,28
SAMME,0.09666597043769039,9,303,mean,0.982918,28
SAMME,0.023532677233136803,8,407,median,0.983096,28
SAMME.R,0.013505892152657937,4,160,most_frequent,0.915658,28
SAMME,1.6597606286204014,1,152,most_frequent,0.836833,28
SAMME.R,0.10909241025698097,1,143,median,0.851779,28
SAMME.R,0.014526215486822102,9,416,most_frequent,0.965658,28
SAMME.R,0.9274753613506416,2,196,most_frequent,0.903381,28
SAMME.R,0.3630638530064581,3,130,most_frequent,0.918327,28
SAMME,0.014671612989328996,4,202,mean,0.953203,28
SAMME.R,0.5455508028833107,2,496,most_frequent,0.923132,28
SAMME.R,0.059257992097063006,4,87,most_frequent,0.905872,28
SAMME,0.023452940046477667,3,469,mean,0.956762,28
SAMME.R,0.46302471722421384,8,80,mean,0.973843,28
SAMME,0.33622556690103406,3,428,mean,0.974199,28
SAMME,0.3090334552939377,1,123,most_frequent,0.80427,28
SAMME.R,0.18169058149799436,9,489,most_frequent,0.975623,28
SAMME,0.010003089164500793,10,241,mean,0.971352,28
SAMME,0.06573825149534712,8,416,median,0.982918,28
SAMME.R,0.11265637001581874,4,69,most_frequent,0.908185,28
SAMME.R,0.018194256385621152,5,419,median,0.948577,28
SAMME,0.19216653746323664,4,340,most_frequent,0.979715,28
SAMME.R,0.02057903660979077,9,56,median,0.958185,28
SAMME.R,1.7692364718908151,5,78,mean,0.959964,28
SAMME,0.7570071438621709,6,258,median,0.985409,28
SAMME.R,0.46484021969909445,2,378,mean,0.916726,28
SAMME,0.02630417167275788,1,268,median,0.680427,28
SAMME.R,0.08017523065449922,9,417,mean,0.974911,28
SAMME,0.06573279035675995,8,135,median,0.982206,28
SAMME,0.3552719905550511,5,166,median,0.983274,28
SAMME,0.10978948504046947,10,338,median,0.983096,28
SAMME.R,0.03239048932848114,7,485,mean,0.968149,28
SAMME,0.5210638654525855,7,158,mean,0.985231,28
SAMME,0.08306902614175608,1,408,median,0.774911,28
SAMME.R,0.3817404814284326,10,101,most_frequent,0.976157,28
SAMME.R,0.024211948517393212,9,452,most_frequent,0.968861,28
SAMME,0.3458334287555472,5,231,median,0.983808,28
SAMME,0.4114340144127582,1,373,most_frequent,0.86637,28
SAMME,0.36720784747461654,10,457,median,0.985409,28
SAMME,1.883532787978551,8,477,most_frequent,0.987011,28
SAMME.R,0.393777981849746,10,235,most_frequent,0.97758,28
SAMME,0.13186798253379453,6,442,most_frequent,0.983986,28
SAMME,0.03491770455367867,9,284,mean,0.982384,28
SAMME,0.1246869736896426,2,190,mean,0.937011,28
SAMME,1.6929274652449007,1,318,median,0.88363,28
SAMME,0.010808834695133775,5,451,most_frequent,0.973665,28
SAMME,0.16625461277198222,9,436,most_frequent,0.983808,28
SAMME,1.5562750659407818,2,491,median,0.948399,28
SAMME.R,0.07873426683481438,10,493,most_frequent,0.975801,28
SAMME,0.021063892982709782,1,70,most_frequent,0.485587,28
SAMME.R,0.03749137155324312,2,101,most_frequent,0.854982,28
SAMME,0.06545277641116282,5,467,median,0.982562,28
SAMME.R,0.013858301934354153,3,231,mean,0.867972,28
SAMME,0.020522966946290563,9,253,most_frequent,0.980783,28
SAMME,0.042909561665180014,9,312,mean,0.982918,28
SAMME.R,0.10699259601476135,10,84,most_frequent,0.97153,28
SAMME.R,0.068950938946458,3,146,mean,0.870996,28
SAMME.R,0.010293297411460003,10,470,most_frequent,0.966192,28
SAMME.R,1.298215966497948,9,462,median,0.986833,28
SAMME.R,0.04497355906919759,1,406,mean,0.855872,28
SAMME,0.06617431389477467,4,342,most_frequent,0.977758,28
SAMME.R,1.0722740835212092,9,168,mean,0.985231,28
SAMME,0.0457934807194286,10,137,mean,0.978648,28
SAMME,0.051223052165075986,7,142,median,0.980961,28
SAMME.R,0.19721396064460944,9,326,median,0.977224,28
SAMME.R,0.569548944771209,2,129,mean,0.892883,28
SAMME.R,0.010530050511450059,7,101,most_frequent,0.959431,28
SAMME,0.5653050143076627,6,297,most_frequent,0.985231,28
SAMME,0.12032492300064833,8,434,median,0.982918,28
SAMME,1.0576666545387818,9,99,mean,0.987189,28
SAMME,1.7632199153546524,4,200,mean,0.978648,28
SAMME,0.23606909687002886,2,402,most_frequent,0.955872,28
SAMME,1.8437712710789569,9,344,median,0.987367,28
SAMME.R,0.023363077533599768,2,317,mean,0.861922,28
SAMME.R,1.2891185460058419,1,230,median,0.689324,28
SAMME,0.2234351327730554,10,388,median,0.98452,28
SAMME,0.046804351374223965,7,237,median,0.982384,28
SAMME,1.679113217662483,5,438,median,0.984342,28
SAMME.R,0.08768469915247493,2,222,median,0.852491,28
SAMME.R,0.050036563735346914,1,342,median,0.855338,28
SAMME,0.13815952151356112,1,280,median,0.79484,28
SAMME.R,0.030033955953877218,1,475,most_frequent,0.854982,28
SAMME.R,0.11755918289846196,7,238,mean,0.967972,28
SAMME,0.02367826634413605,1,88,mean,0.530605,28
SAMME.R,1.3104314929422056,1,411,most_frequent,0.712989,28
SAMME,0.06356037568118278,1,361,most_frequent,0.748399,28
SAMME,0.04505708382219078,10,173,mean,0.981139,28
SAMME,0.023747585714770956,7,431,median,0.98274,28
SAMME.R,0.016013765580937738,9,465,mean,0.970819,28
SAMME.R,0.175988949568968,2,348,median,0.867616,28
SAMME,0.4496166997019349,10,371,most_frequent,0.985409,28
SAMME,0.8007335752518522,3,406,mean,0.97758,28
SAMME.R,0.05630976762074421,8,178,median,0.970463,28
SAMME.R,0.24001731179066985,10,166,median,0.977046,28
SAMME,0.03034013732242743,2,199,most_frequent,0.870996,28
SAMME.R,1.9052082338756609,2,145,mean,0.894128,28
SAMME.R,0.3524249422100141,2,139,median,0.862278,28
SAMME.R,1.6380189029248204,1,493,mean,0.824911,28
SAMME.R,1.1207480548479625,10,230,median,0.986833,28
SAMME,0.041029040041682376,8,325,mean,0.982206,28
SAMME.R,0.10857266354162749,6,441,most_frequent,0.968327,28
SAMME.R,0.1138058608516015,6,341,mean,0.966192,28
SAMME.R,0.13457175920985315,2,384,most_frequent,0.860676,28
SAMME.R,0.08536668233022744,3,431,median,0.901779,28
SAMME.R,0.1770935660682613,2,93,mean,0.833808,28
SAMME.R,0.03494131244341738,2,247,most_frequent,0.860498,28
SAMME,0.11889291156018181,1,465,mean,0.818149,28
SAMME,0.15758031232959688,8,414,median,0.984875,28
SAMME.R,0.2280229700600392,4,497,mean,0.953381,28
SAMME.R,0.03548925084975783,9,272,median,0.96637,28
SAMME,0.48995032349425205,2,384,mean,0.9621,28
SAMME.R,0.059688342608424254,10,114,most_frequent,0.972064,28
SAMME.R,0.8777338995554225,10,226,mean,0.987367,28
SAMME,1.959531755236828,7,349,mean,0.830435,29
SAMME.R,0.11079356347904575,2,378,median,0.84058,29
SAMME.R,0.1417132402442303,3,297,most_frequent,0.827536,29
SAMME.R,0.026129077254647987,8,98,median,0.833333,29
SAMME,1.343860699514449,8,320,most_frequent,0.857971,29
SAMME.R,0.016969469778039706,5,319,most_frequent,0.827536,29
SAMME.R,1.283290956566352,10,422,median,0.873913,29
SAMME.R,0.011291649457685187,3,284,most_frequent,0.849275,29
SAMME,0.9234091339989418,6,85,mean,0.86087,29
SAMME.R,1.1982639893369234,4,221,most_frequent,0.852174,29
SAMME.R,0.04473875549616298,5,495,most_frequent,0.834783,29
SAMME.R,0.2285902863112829,7,195,mean,0.836232,29
SAMME,0.011070442372119455,9,65,most_frequent,0.82029,29
SAMME.R,0.14230888647171477,6,259,mean,0.827536,29
SAMME,0.5834897485904156,2,181,most_frequent,0.852174,29
SAMME.R,0.20533487802478043,6,88,mean,0.83913,29
SAMME,0.048522259133165636,4,216,most_frequent,0.863768,29
SAMME,0.016755024092474338,2,481,mean,0.855072,29
SAMME,0.012993879557981288,3,441,mean,0.863768,29
SAMME,0.02868583236608631,2,414,most_frequent,0.853623,29
SAMME,0.2563975294785835,7,152,median,0.86087,29
SAMME,0.27696814461803254,9,364,most_frequent,0.830435,29
SAMME,0.6628303963431849,2,240,most_frequent,0.862319,29
SAMME.R,0.8532393877295344,1,236,median,0.844928,29
SAMME,0.015468531643558653,4,148,mean,0.86087,29
SAMME,0.02223307807022619,3,188,mean,0.862319,29
SAMME,0.010647748295822762,9,209,mean,0.823188,29
SAMME.R,0.02981961856557768,3,349,mean,0.833333,29
SAMME.R,0.33176017165721594,6,260,mean,0.836232,29
SAMME.R,0.017997854647002785,1,492,most_frequent,0.865217,29
SAMME,1.7848355075063331,10,418,most_frequent,0.85942,29
SAMME,0.3553468847130816,8,482,median,0.871014,29
SAMME,1.5207218095001107,9,340,most_frequent,0.866667,29
SAMME.R,0.04647989658045908,7,162,most_frequent,0.837681,29
SAMME,1.084808777047758,2,187,most_frequent,0.852174,29
SAMME,0.058482637353349874,1,118,median,0.855072,29
SAMME,0.31091179740574454,7,300,most_frequent,0.86087,29
SAMME,0.9060667521228447,2,244,most_frequent,0.85942,29
SAMME,0.06038213524200766,4,341,most_frequent,0.863768,29
SAMME.R,0.037417938017522315,6,453,median,0.84058,29
SAMME.R,0.18265798817444792,10,388,most_frequent,0.852174,29
SAMME,0.19806313182405003,5,130,mean,0.863768,29
SAMME,0.06888720429134763,10,208,mean,0.813043,29
SAMME.R,0.035567859398667676,8,330,mean,0.818841,29
SAMME,0.0289493598792232,3,343,median,0.862319,29
SAMME,0.1839196168299502,7,130,median,0.868116,29
SAMME.R,0.14496831372443011,3,293,most_frequent,0.843478,29
SAMME,1.0911248497129586,10,437,mean,0.865217,29
SAMME.R,0.21684201832790403,9,367,mean,0.842029,29
SAMME.R,0.04615698117786884,1,439,most_frequent,0.868116,29
SAMME.R,0.16105601901545505,1,457,most_frequent,0.86087,29
SAMME.R,0.16891156426363024,8,334,median,0.827536,29
SAMME.R,1.638523566933029,4,500,most_frequent,0.869565,29
SAMME,0.9384361632557764,10,322,most_frequent,0.865217,29
SAMME.R,0.7346243278461403,7,232,most_frequent,0.868116,29
SAMME.R,0.22815300711494324,3,54,most_frequent,0.810145,29
SAMME,0.06181212034023187,6,329,median,0.865217,29
SAMME,0.011716488903404466,2,183,median,0.857971,29
SAMME.R,1.8667010386865044,6,166,median,0.847826,29
SAMME.R,0.9933994565752494,7,402,most_frequent,0.865217,29
SAMME.R,0.012314941912054718,7,416,most_frequent,0.831884,29
SAMME,1.1411290807586913,6,455,most_frequent,0.868116,29
SAMME.R,0.22109609824910675,8,151,mean,0.842029,29
SAMME.R,0.04298854991975506,8,228,mean,0.821739,29
SAMME.R,0.16537671404400645,5,181,most_frequent,0.844928,29
SAMME,1.5985641356618223,7,177,median,0.85942,29
SAMME.R,0.017931415346472107,6,409,median,0.84058,29
SAMME,0.5939320992074276,7,103,mean,0.873913,29
SAMME.R,0.09790953545812779,10,285,mean,0.831884,29
SAMME,0.1578154712343815,6,171,median,0.853623,29
SAMME,1.3803758317450616,8,88,mean,0.865217,29
SAMME,0.5282299710533997,5,273,mean,0.862319,29
SAMME.R,0.4168214494762663,10,443,most_frequent,0.847826,29
SAMME,0.03336814372519734,10,385,median,0.813043,29
SAMME,0.015977852187993215,7,444,median,0.828986,29
SAMME.R,0.03776985352754959,8,160,most_frequent,0.828986,29
SAMME,1.1363796846220566,10,437,mean,0.866667,29
SAMME.R,0.011474479809496185,3,228,most_frequent,0.85942,29
SAMME.R,0.047161776882740855,1,111,mean,0.857971,29
SAMME,1.4322876123567871,6,499,most_frequent,0.872464,29
SAMME.R,0.013397954659180075,5,116,mean,0.83913,29
SAMME.R,1.2748648111988794,4,393,median,0.85942,29
SAMME,0.086004756946279,1,151,median,0.855072,29
SAMME,0.28044497007849273,1,143,mean,0.856522,29
SAMME.R,1.0064885133135684,5,160,mean,0.857971,29
SAMME.R,0.5090709573644548,4,50,mean,0.852174,29
SAMME.R,1.439657646795135,1,214,most_frequent,0.833333,29
SAMME,0.053681776090768296,9,145,mean,0.817391,29
SAMME.R,0.13681587199497267,9,295,median,0.853623,29
SAMME.R,0.4437262688045354,7,230,mean,0.847826,29
SAMME.R,0.1190604516166305,6,379,most_frequent,0.850725,29
SAMME.R,0.017640078418653286,10,394,mean,0.821739,29
SAMME,0.2630295903933417,9,444,most_frequent,0.849275,29
SAMME,0.023570327303566237,5,50,most_frequent,0.853623,29
SAMME.R,0.08810577910816797,3,384,mean,0.830435,29
SAMME.R,0.010006357679494723,8,197,median,0.833333,29
SAMME.R,0.15719252989928098,8,224,mean,0.849275,29
SAMME.R,0.39247998726704925,10,66,median,0.84058,29
SAMME.R,0.4214362037208921,10,299,mean,0.84058,29
SAMME.R,0.12056543696152874,4,453,median,0.856522,29
SAMME.R,0.08850308044345642,7,318,mean,0.827536,29
SAMME,0.28710124056759573,3,467,mean,0.849275,29
SAMME,0.09032663440047904,9,236,mean,0.830435,29
SAMME.R,0.45394386064103975,10,298,median,0.85942,29
SAMME.R,1.3477540931947327,10,480,most_frequent,0.865217,29
SAMME,0.17279712006307904,5,227,most_frequent,0.853623,29
SAMME.R,0.013561886262814953,10,262,mean,0.817391,29
SAMME.R,0.11124780744803786,5,278,median,0.849275,29
SAMME.R,0.35780491903644907,7,234,mean,0.846377,29
SAMME,0.06014243052500889,4,291,median,0.866667,29
SAMME.R,0.38637269200800145,8,424,mean,0.850725,29
SAMME,0.09190018432463871,4,280,mean,0.86087,29
SAMME,0.01766188904977094,7,288,mean,0.831884,29
SAMME,0.013077667991444778,1,105,mean,0.855072,29
SAMME.R,0.8409997741324455,3,319,mean,0.842029,29
SAMME.R,0.015978180028883997,10,249,mean,0.817391,29
SAMME,0.3378428391534893,6,488,mean,0.869565,29
SAMME.R,0.04114976018327355,4,241,most_frequent,0.836232,29
SAMME.R,1.6318378385041972,1,184,mean,0.833333,29
SAMME,0.8708606361625274,3,188,most_frequent,0.853623,29
SAMME,0.27171179653459476,5,349,most_frequent,0.871014,29
SAMME,0.01898402633707707,8,218,most_frequent,0.828986,29
SAMME,0.03606257180373448,4,345,median,0.872464,29
SAMME,1.6730681477785447,6,262,mean,0.869565,29
SAMME.R,0.26702274592623254,2,239,median,0.842029,29
SAMME.R,0.33906859259673977,5,58,most_frequent,0.850725,29
SAMME,0.03838384273013726,3,224,most_frequent,0.868116,29
SAMME.R,1.4441047681725374,1,211,mean,0.850725,29
SAMME,0.020901658467482237,10,237,most_frequent,0.818841,29
SAMME.R,0.2446933941778397,9,194,median,0.83913,29
SAMME.R,1.1663880609149146,1,362,median,0.834783,29
SAMME,0.0881073070235585,6,363,mean,0.853623,29
SAMME,1.753207156772994,7,383,median,0.856522,29
SAMME.R,0.028872210204765426,7,384,most_frequent,0.847826,29
SAMME.R,0.5875323468317347,6,344,most_frequent,0.846377,29
SAMME,0.21017663900104966,7,202,median,0.857971,29
SAMME,0.03743794957527854,3,71,median,0.849275,29
SAMME.R,0.20459406299374458,5,298,most_frequent,0.847826,29
SAMME,0.06919320285185943,10,308,mean,0.818841,29
SAMME,0.013236252633904329,2,296,median,0.844928,29
SAMME,0.010417809854912086,1,220,median,0.855072,29
SAMME,0.010176064473901233,3,302,median,0.85942,29
SAMME.R,0.030025374192407008,6,319,most_frequent,0.842029,29
SAMME,1.5144188608004325,10,413,mean,0.862319,29
SAMME,0.022595367845505046,9,165,most_frequent,0.808696,29
SAMME,1.1489370875006404,8,87,median,0.86087,29
SAMME.R,0.29863620794204754,9,243,median,0.837681,29
SAMME,0.4349204241212656,9,180,mean,0.868116,29
SAMME,1.3499328882859876,7,389,median,0.868116,29
SAMME.R,0.013507691888735,1,498,most_frequent,0.853623,29
SAMME,0.05507784966359453,2,473,most_frequent,0.86087,29
SAMME.R,0.01016916021363447,6,295,most_frequent,0.828986,29
SAMME,0.1918050372627934,7,487,median,0.863768,29
SAMME,0.6384928996405859,9,264,median,0.876812,29
SAMME,0.05167749446196245,8,224,mean,0.837681,29
SAMME.R,0.15102480106649488,1,104,mean,0.868116,29
SAMME.R,0.04393767589226274,5,191,mean,0.83913,29
SAMME.R,0.8062549437216918,1,216,mean,0.842029,29
SAMME,0.36290955131614033,10,218,mean,0.833333,29
SAMME.R,0.08439982875507442,6,239,median,0.824638,29
SAMME,0.5290885674055589,9,462,most_frequent,0.857971,29
SAMME,0.8545303002922062,6,486,median,0.871014,29
SAMME.R,0.18297673410881454,1,206,most_frequent,0.866667,29
SAMME,0.031867225760639356,1,217,mean,0.855072,29
SAMME,0.02479898086171528,8,185,median,0.817391,29
SAMME,0.01399856790232704,4,434,most_frequent,0.862319,29
SAMME,0.018231183888328277,10,434,most_frequent,0.813043,29
SAMME,0.45112687000832424,1,330,median,0.853623,29
SAMME.R,0.1469415074729293,5,484,mean,0.837681,29
SAMME,0.07311036632888418,2,136,mean,0.85942,29
SAMME.R,0.025558070271290218,5,407,most_frequent,0.84058,29
SAMME,0.05495981974476096,2,78,median,0.847826,29
SAMME.R,0.05126467167946896,4,107,mean,0.857971,29
SAMME.R,0.31332686572735674,2,149,median,0.821739,29
SAMME,0.4323269321331758,8,113,most_frequent,0.857971,29
SAMME,0.5108739060827632,2,153,most_frequent,0.85942,29
SAMME,0.991334048801566,1,367,mean,0.850725,29
SAMME,0.7060286310143894,10,264,most_frequent,0.873913,29
SAMME.R,0.03709989190107729,1,261,mean,0.863768,29
SAMME.R,0.060114480269642626,5,371,median,0.830435,29
SAMME.R,0.9507333098632933,4,296,most_frequent,0.865217,29
SAMME,1.75112548803297,4,206,mean,0.844928,29
SAMME.R,0.29481949088937814,4,460,median,0.847826,29
SAMME.R,0.017023224940293524,1,238,most_frequent,0.856522,29
SAMME.R,0.26896183416391595,9,189,most_frequent,0.828986,29
SAMME.R,0.021533016867483903,6,163,mean,0.842029,29
SAMME,0.31141488696762987,1,93,median,0.856522,29
SAMME,0.015312148670761114,7,195,median,0.833333,29
SAMME,1.9700394621573067,6,242,mean,0.834783,29
SAMME,0.07274156651803222,8,338,median,0.847826,29
SAMME,0.024061386900504845,10,338,most_frequent,0.817391,29
SAMME,0.4061569767784559,1,195,most_frequent,0.855072,29
SAMME.R,0.061871211460973276,1,268,mean,0.866667,29
SAMME,0.10997932609185047,6,300,median,0.866667,29
SAMME.R,0.014134847808333455,4,61,median,0.862319,29
SAMME.R,0.010023835966865433,10,499,most_frequent,0.810145,29
SAMME.R,0.022400881966555597,9,80,mean,0.844928,29
SAMME,0.4014146871649775,7,238,median,0.869565,29
SAMME.R,0.030968432000211467,5,125,median,0.83913,29
SAMME,0.43754989885243667,4,448,mean,0.849275,29
SAMME.R,0.08616271527458347,3,222,median,0.843478,29
SAMME.R,0.7938948823200116,9,489,most_frequent,0.855072,29
SAMME,0.2224163573147612,8,350,mean,0.855072,29
SAMME.R,0.28285357161968744,8,367,most_frequent,0.836232,29
SAMME.R,0.22989788386075524,7,325,median,0.844928,29
SAMME.R,0.02120361561419383,1,309,mean,0.855072,29
SAMME,0.25209934110276394,8,119,median,0.862319,29
SAMME.R,0.23585350893971396,2,285,mean,0.82029,29
SAMME,1.0687729257985445,1,299,mean,0.853623,29
SAMME,0.026753316795989062,1,305,mean,0.855072,29
SAMME,0.017708553032196473,3,218,mean,0.86087,29
SAMME.R,0.3929985885721314,4,284,median,0.846377,29
SAMME.R,0.42213317530720507,7,183,median,0.857971,29
SAMME,1.2104865292025013,6,491,median,0.869565,29
SAMME.R,1.2554854196978054,10,479,median,0.866667,29
SAMME.R,0.18263482150487237,4,485,median,0.857971,29
SAMME,0.3796214981915813,10,237,mean,0.828986,29
SAMME.R,0.020022086581114373,1,192,mean,0.855072,29
SAMME.R,1.6707881625264385,4,254,median,0.855072,29
SAMME.R,0.2968292508929054,8,471,median,0.830435,29
SAMME,0.11079014962745669,7,222,median,0.856522,29
SAMME,0.01075260784590478,10,238,mean,0.824638,29
SAMME,0.010809662855203506,6,382,mean,0.849275,29
SAMME,0.2757002291959022,7,202,median,0.868116,29
SAMME,1.5897929868907905,1,274,most_frequent,0.833333,29
SAMME,0.2349172102588648,4,78,mean,0.868116,29
SAMME,0.2471016462188589,9,242,median,0.83913,29
SAMME.R,0.32926842515399496,7,257,mean,0.855072,29
SAMME.R,0.03800697202744158,5,280,mean,0.849275,29
SAMME.R,0.03162594787742829,3,66,most_frequent,0.863768,29
SAMME,0.8460932625046207,10,314,median,0.876812,29
SAMME,0.04725130707541294,3,346,median,0.862319,29
SAMME.R,0.07357131175532501,6,145,median,0.818841,29
SAMME,1.1650709726110042,9,276,most_frequent,0.869565,29
SAMME,0.06574156624799271,2,307,most_frequent,0.865217,29
SAMME,0.19964433507580637,1,422,mean,0.857971,29
