% {"flow_id": 6970, "openml_server": "https://www.openml.org/api/v1/xml", "col_parameters": ["adaboostclassifier__algorithm", "adaboostclassifier__learning_rate", "adaboostclassifier__base_estimator__max_depth", "adaboostclassifier__n_estimators", "columntransformer__numeric__imputer__strategy"], "col_measures": ["predictive_accuracy"], "normalized_y": false, "study_id": "OpenML100", "num_runs": 400}
@RELATION openml-meta-flow-6970

@ATTRIBUTE adaboostclassifier__algorithm {SAMME, SAMME.R}
@ATTRIBUTE adaboostclassifier__learning_rate NUMERIC
@ATTRIBUTE adaboostclassifier__base_estimator__max_depth NUMERIC
@ATTRIBUTE adaboostclassifier__n_estimators NUMERIC
@ATTRIBUTE columntransformer__numeric__imputer__strategy {median, mean, most_frequent}
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE task_id NUMERIC

@DATA
SAMME,0.14107150996562798,1,248,median,0.809762,3
SAMME,0.09096759976021884,8,197,mean,0.996245,3
SAMME,0.7694682203768011,2,168,median,0.967146,3
SAMME.R,0.04993012199602667,6,444,mean,0.995307,3
SAMME.R,0.026043434616256685,10,394,mean,0.993116,3
SAMME.R,0.5299304312889594,1,154,mean,0.966834,3
SAMME.R,0.08946113479522672,1,485,median,0.951815,3
SAMME,0.1446904347053415,2,125,mean,0.956821,3
SAMME,0.03402962330754561,3,329,median,0.955257,3
SAMME,0.6540585237411218,7,198,median,0.995932,3
SAMME.R,1.9163434469455352,4,294,median,0.993742,3
SAMME,0.09354847653185479,9,123,most_frequent,0.996558,3
SAMME.R,0.16532723364966412,10,372,most_frequent,0.992178,3
SAMME.R,0.09910046601304985,9,435,most_frequent,0.989675,3
SAMME.R,0.0643460742886964,2,313,most_frequent,0.989675,3
SAMME,0.21360532230463766,6,236,median,0.995307,3
SAMME.R,0.2255093540863682,8,354,most_frequent,0.991865,3
SAMME.R,0.06087936590475825,5,497,most_frequent,0.994055,3
SAMME.R,0.7095368046711991,3,82,most_frequent,0.994368,3
SAMME.R,1.789894679424716,2,263,median,0.993429,3
SAMME,0.22487963731394642,5,125,most_frequent,0.992491,3
SAMME.R,0.012825964915635908,1,497,median,0.940864,3
SAMME,0.5279022141440285,10,445,most_frequent,0.995932,3
SAMME,0.26089978770490874,10,127,median,0.996871,3
SAMME.R,0.4080850416471226,1,267,most_frequent,0.968711,3
SAMME.R,1.5009249317291802,9,394,mean,0.996558,3
SAMME.R,0.01178531992406424,4,454,median,0.994994,3
SAMME.R,0.7821696609830873,6,275,median,0.996871,3
SAMME,0.18855759129420477,3,338,mean,0.979662,3
SAMME,0.3049600004495728,4,98,most_frequent,0.989049,3
SAMME.R,0.010896050156326003,7,373,mean,0.994055,3
SAMME,0.26789573299509856,10,393,mean,0.995932,3
SAMME.R,0.16835124259302275,2,265,most_frequent,0.994994,3
SAMME,0.5098941627961933,10,209,most_frequent,0.995932,3
SAMME.R,1.6102481288673054,6,443,mean,0.996871,3
SAMME.R,0.04619004612697641,1,397,mean,0.944305,3
SAMME.R,0.2623800085621663,8,366,median,0.991552,3
SAMME.R,0.03879390251306741,8,371,median,0.991865,3
SAMME.R,0.5016302265852454,6,300,most_frequent,0.996245,3
SAMME.R,0.10350262748123985,6,383,median,0.994994,3
SAMME.R,0.6251590716147857,2,208,mean,0.996245,3
SAMME.R,0.07219914926083333,2,321,median,0.989987,3
SAMME,0.9960240338503011,7,495,most_frequent,0.995932,3
SAMME,0.013638204550446509,6,288,median,0.980288,3
SAMME.R,0.05928938556705721,3,85,mean,0.989987,3
SAMME,0.6547011727163087,9,384,median,0.99562,3
SAMME.R,0.9314921429437005,1,170,median,0.968085,3
SAMME.R,0.11171664528361257,10,446,mean,0.9903,3
SAMME,0.012484986998394747,10,119,median,0.996245,3
SAMME,0.23987014976705356,4,107,median,0.98811,3
SAMME,1.2545666026037177,4,299,most_frequent,0.996558,3
SAMME.R,0.03043142196190968,2,362,mean,0.979662,3
SAMME,0.06436308392295802,8,109,mean,0.996871,3
SAMME,0.17736695493985655,3,342,most_frequent,0.978411,3
SAMME.R,1.690627451314201,7,494,median,0.996871,3
SAMME,1.11617061872619,7,481,median,0.996245,3
SAMME,0.7696661235535749,5,109,mean,0.996245,3
SAMME,0.05638487095966293,9,459,mean,0.996871,3
SAMME.R,0.010380973407901471,6,97,median,0.99562,3
SAMME.R,0.4552474553761636,8,174,median,0.993742,3
SAMME.R,0.08455438520604128,8,86,most_frequent,0.993116,3
SAMME,0.038327348549405164,6,339,mean,0.992178,3
SAMME.R,0.016880021597982624,8,359,most_frequent,0.994994,3
SAMME,1.889944512364275,5,128,median,0.994681,3
SAMME,1.6239606561963498,9,110,median,0.994368,3
SAMME,0.11397933292185519,5,155,median,0.991552,3
SAMME,0.03693078502941886,2,263,mean,0.944305,3
SAMME,1.3495437535734163,2,281,median,0.98373,3
SAMME,0.06470021941148539,9,406,median,0.996871,3
SAMME,0.03437072062622476,7,270,most_frequent,0.992491,3
SAMME,0.01266470363268537,4,427,median,0.94368,3
SAMME,0.11584477147128096,5,444,mean,0.995307,3
SAMME,0.3450131850894228,3,123,mean,0.977785,3
SAMME.R,0.09245972252885593,10,124,most_frequent,0.992804,3
SAMME,0.037090334287798975,7,333,median,0.993116,3
SAMME.R,0.9019875729159562,2,348,mean,0.995307,3
SAMME.R,0.17196804792629447,4,347,most_frequent,0.995932,3
SAMME.R,1.4779385393549012,9,369,most_frequent,0.996245,3
SAMME,0.0400953772475033,6,285,mean,0.990926,3
SAMME,0.13121968082045643,9,102,mean,0.997184,3
SAMME,0.6373429549379077,3,439,median,0.988736,3
SAMME,0.012664843557517711,5,151,most_frequent,0.954631,3
SAMME,0.7649286797985705,2,480,mean,0.96965,3
SAMME.R,0.11146703104397032,8,470,mean,0.991865,3
SAMME,0.18165052516186117,3,430,median,0.980601,3
SAMME,0.7988565007456857,4,454,median,0.996245,3
SAMME.R,1.3418742137044035,1,397,median,0.966521,3
SAMME,0.24001938899598513,8,104,most_frequent,0.996871,3
SAMME.R,0.27672812493254667,5,243,most_frequent,0.994368,3
SAMME.R,0.1063522107204094,6,400,median,0.993742,3
SAMME,0.0186506359738932,7,273,most_frequent,0.9903,3
SAMME.R,0.11252805800613669,1,171,most_frequent,0.946809,3
SAMME,0.1184696033007528,9,471,mean,0.996245,3
SAMME,0.011353669038777313,6,50,most_frequent,0.958698,3
SAMME,0.010283481438974172,3,86,mean,0.904255,3
SAMME,0.026071434949700503,5,220,mean,0.966521,3
SAMME,1.0042858309687102,7,451,median,0.996558,3
SAMME,0.9519122917867585,2,152,median,0.968398,3
SAMME,1.1089970597105485,10,82,most_frequent,0.996245,3
SAMME,0.09000347321615053,3,492,mean,0.976533,3
SAMME.R,0.04967136819515512,1,125,most_frequent,0.940864,3
SAMME.R,0.02302815451367036,7,116,median,0.994994,3
SAMME.R,0.013308766927927073,3,163,most_frequent,0.97403,3
SAMME,0.021703815660701734,5,264,most_frequent,0.969337,3
SAMME,0.01833841027662467,2,428,median,0.940864,3
SAMME.R,0.423846202938114,4,145,most_frequent,0.996245,3
SAMME,0.03337763038563988,8,247,median,0.996245,3
SAMME,1.843315372231832,6,112,most_frequent,0.994681,3
SAMME.R,0.22777882442121078,1,243,mean,0.960263,3
SAMME,0.03311643280686705,6,275,median,0.9903,3
SAMME.R,0.014121953005537796,10,422,most_frequent,0.993429,3
SAMME.R,0.0185212269180433,1,305,mean,0.940864,3
SAMME,0.04758651384005719,6,349,median,0.99562,3
SAMME,0.02580264038755797,1,267,median,0.904255,3
SAMME,0.8418887452927917,8,85,mean,0.996558,3
SAMME.R,0.700826205264973,1,106,median,0.967459,3
SAMME,0.09443940353939623,5,408,most_frequent,0.994994,3
SAMME,0.027028303509323445,9,223,mean,0.995932,3
SAMME.R,1.1605267012440155,10,426,mean,0.996558,3
SAMME.R,0.8014349797222012,1,157,most_frequent,0.968398,3
SAMME.R,0.011879192913338192,10,385,most_frequent,0.994994,3
SAMME,0.056609120039584675,2,53,mean,0.904255,3
SAMME,1.5928404849805302,3,391,median,0.993429,3
SAMME,0.33530809175133724,7,113,median,0.995932,3
SAMME,0.023426633783991263,5,355,most_frequent,0.970588,3
SAMME,0.1650680846249806,5,294,mean,0.994681,3
SAMME.R,0.3960390183644589,4,472,median,0.995932,3
SAMME.R,0.2566230363902729,3,111,median,0.995932,3
SAMME.R,0.025958555917767395,1,59,mean,0.904255,3
SAMME.R,0.09019685247638452,9,235,most_frequent,0.992178,3
SAMME,0.01707747524579794,10,230,most_frequent,0.996558,3
SAMME.R,0.7537429493888538,2,250,median,0.995307,3
SAMME.R,0.22175525365111518,9,239,most_frequent,0.991865,3
SAMME.R,0.028858882433342344,9,429,most_frequent,0.992491,3
SAMME.R,0.012468589193943532,6,373,mean,0.994681,3
SAMME,0.1140213635224604,4,244,mean,0.986546,3
SAMME.R,1.6949667232118066,2,298,mean,0.994994,3
SAMME,0.1331048461092665,3,105,median,0.961202,3
SAMME,0.22456406636679802,4,128,median,0.987797,3
SAMME,0.062573117387768,3,258,mean,0.964643,3
SAMME,0.5240870429204767,1,131,median,0.903317,3
SAMME,0.01463987301277787,10,104,median,0.996245,3
SAMME.R,0.09183271129555022,6,487,most_frequent,0.993742,3
SAMME,0.13216077458876585,10,343,median,0.995932,3
SAMME,1.1193863326837963,4,352,most_frequent,0.99562,3
SAMME,0.33743062373076166,5,228,median,0.99562,3
SAMME.R,0.05412886427417858,4,391,mean,0.995932,3
SAMME.R,0.1841239160955215,8,168,most_frequent,0.990926,3
SAMME,0.02351781323373377,4,171,median,0.943054,3
SAMME.R,0.029893765761015434,3,280,most_frequent,0.994681,3
SAMME,0.18416444152642772,10,462,most_frequent,0.996558,3
