task_id,param_id,param_name,variance_contribution
9978,imputation,imputation,0.001523551892848022
9978,shrinking,shrinking,0.00016141108219917146
10093,gamma,gamma,0.28863543773378786
10093,complexity,complexity,0.2947745979156784
10093,complexity / gamma,complexity / gamma,0.3211892725342411
10093,gamma / tolerance,gamma / tolerance,0.007428350105956258
10093,complexity / gamma / tolerance,complexity / gamma / tolerance,0.011764883212365101
10093,tolerance,tolerance,0.007514176726428859
10093,imputation,imputation,0.003409880012695144
10093,shrinking,shrinking,0.00018119703207606567
6,gamma,gamma,0.3252436817407117
6,complexity,complexity,0.35346085296696905
6,complexity / gamma,complexity / gamma,0.15682352192490523
6,gamma / tolerance,gamma / tolerance,0.018505922740699836
6,complexity / gamma / tolerance,complexity / gamma / tolerance,0.023140312854028296
6,tolerance,tolerance,0.02955898362838367
6,imputation,imputation,0.0017582801828449355
6,shrinking,shrinking,0.0005408552070669947
3954,gamma,gamma,0.5446847074967867
3954,complexity,complexity,0.1502858024055046
3954,complexity / gamma,complexity / gamma,0.20576704389138922
3954,gamma / tolerance,gamma / tolerance,0.0198919920955558
3954,complexity / gamma / tolerance,complexity / gamma / tolerance,0.017285814428738576
3954,tolerance,tolerance,0.01193653229043291
3954,imputation,imputation,0.0024108098221595235
3954,shrinking,shrinking,0.0003071320726444355
9986,gamma,gamma,0.20464612152787404
9986,complexity,complexity,0.3485308408629445
9986,complexity / gamma,complexity / gamma,0.2972691668275396
9986,gamma / tolerance,gamma / tolerance,0.020471599389754958
9986,complexity / gamma / tolerance,complexity / gamma / tolerance,0.026130234059290824
9986,tolerance,tolerance,0.029685654863004562
9986,imputation,imputation,0.0008454198167162826
9986,shrinking,shrinking,0.0003714807161853191
10101,gamma,gamma,0.3046138565417841
10101,complexity,complexity,0.04597965770481342
10101,complexity / gamma,complexity / gamma,0.24707438416721317
10101,gamma / tolerance,gamma / tolerance,0.10012515943776337
10101,complexity / gamma / tolerance,complexity / gamma / tolerance,0.05640798000324931
10101,tolerance,tolerance,0.040096353076260395
10101,imputation,imputation,0.012050353741419792
10101,shrinking,shrinking,0.0001955964441910954
3899,gamma,gamma,0.4960934451770246
3899,complexity,complexity,0.3057337220946763
3899,complexity / gamma,complexity / gamma,0.11864469232589758
3899,gamma / tolerance,gamma / tolerance,0.012250640461259938
3899,complexity / gamma / tolerance,complexity / gamma / tolerance,0.019778332970701473
3899,tolerance,tolerance,0.00546470919081961
3899,imputation,imputation,0.0012570155309306775
3899,shrinking,shrinking,0.00040860361361511727
3510,gamma,gamma,0.5213885180639086
3510,complexity,complexity,0.20265136866197786
3510,complexity / gamma,complexity / gamma,0.1479773351083954
3510,gamma / tolerance,gamma / tolerance,0.02739029194207758
3510,complexity / gamma / tolerance,complexity / gamma / tolerance,0.01874554339440787
3510,tolerance,tolerance,0.012887171191758154
3510,imputation,imputation,0.0017610828392648097
3510,shrinking,shrinking,0.0005090466276489781
9980,gamma,gamma,0.30522540854274094
9980,complexity,complexity,0.2419460198575949
9980,complexity / gamma,complexity / gamma,0.1362652295108836
9980,gamma / tolerance,gamma / tolerance,0.15637993748523724
9980,complexity / gamma / tolerance,complexity / gamma / tolerance,0.06121275738093081
9980,tolerance,tolerance,0.02913710892215175
9980,imputation,imputation,0.0019750238354607997
9980,shrinking,shrinking,0.0003969643274466941
34539,gamma,gamma,0.35702680949845267
34539,complexity,complexity,0.10934870161503224
34539,complexity / gamma,complexity / gamma,0.26978687302369286
34539,gamma / tolerance,gamma / tolerance,0.08777275008668216
34539,complexity / gamma / tolerance,complexity / gamma / tolerance,0.028586755376076384
34539,tolerance,tolerance,0.04107793164545133
34539,imputation,imputation,0.0032482031475134644
34539,shrinking,shrinking,0.0007818049703070978
31,gamma,gamma,0.8928006897388192
31,complexity,complexity,0.01180262966466122
31,complexity / gamma,complexity / gamma,0.03744558267276421
31,gamma / tolerance,gamma / tolerance,0.010821277435861651
31,complexity / gamma / tolerance,complexity / gamma / tolerance,0.00978664360814937
31,tolerance,tolerance,0.005913401943250343
31,imputation,imputation,0.000587228668956921
31,shrinking,shrinking,0.0006883457395583056
125921,gamma,gamma,0.21967699485342176
125921,complexity,complexity,0.29901156698096387
125921,complexity / gamma,complexity / gamma,0.3350765321892971
125921,gamma / tolerance,gamma / tolerance,0.01798076457370073
125921,complexity / gamma / tolerance,complexity / gamma / tolerance,0.025159237165263318
125921,tolerance,tolerance,0.011650476625560076
125921,imputation,imputation,0.0022851946236700244
125921,shrinking,shrinking,0.0019081794194240678
41,gamma,gamma,0.8388263536062726
41,complexity,complexity,0.06968375392567164
41,complexity / gamma,complexity / gamma,0.05641688244792431
41,gamma / tolerance,gamma / tolerance,0.008906542533140107
41,complexity / gamma / tolerance,complexity / gamma / tolerance,0.007714073696681336
41,tolerance,tolerance,0.005647177810471136
41,imputation,imputation,0.00011758876511584835
41,shrinking,shrinking,0.0001794238711375211
9955,gamma,gamma,0.2260403002573475
9955,complexity,complexity,0.5189892942620818
9955,complexity / gamma,complexity / gamma,0.14739929990143114
9955,gamma / tolerance,gamma / tolerance,0.015398529454098768
9955,complexity / gamma / tolerance,complexity / gamma / tolerance,0.0180109559943899
9955,tolerance,tolerance,0.00560267683203995
9955,imputation,imputation,0.0012378374152787449
9955,shrinking,shrinking,0.0025705304204113057
11,gamma,gamma,0.2838923415977831
11,complexity,complexity,0.2922218383326817
11,complexity / gamma,complexity / gamma,0.20426615065061243
11,gamma / tolerance,gamma / tolerance,0.023681152373316944
11,complexity / gamma / tolerance,complexity / gamma / tolerance,0.03840378585385834
11,tolerance,tolerance,0.0391550592484797
11,imputation,imputation,0.0004531331841380915
11,shrinking,shrinking,0.0009436287689742061
20,gamma,gamma,0.8898221218923568
20,complexity,complexity,0.01713312173021818
20,complexity / gamma,complexity / gamma,0.03771518120183126
20,gamma / tolerance,gamma / tolerance,0.02449950507559927
20,complexity / gamma / tolerance,complexity / gamma / tolerance,0.004827476627372925
20,tolerance,tolerance,0.010197866774113506
20,imputation,imputation,0.0008249605340254957
20,shrinking,shrinking,0.00018118960759684868
3917,gamma,gamma,0.44041006915458014
3917,complexity,complexity,0.1784222518891953
3917,complexity / gamma,complexity / gamma,0.21969874422835078
3917,gamma / tolerance,gamma / tolerance,0.027412067656792875
3917,complexity / gamma / tolerance,complexity / gamma / tolerance,0.03580884349252274
3917,tolerance,tolerance,0.015091027360056136
3917,imputation,imputation,0.00251368971559459
3917,shrinking,shrinking,0.0003831332575071117
21,gamma,gamma,0.8817273874611116
21,complexity,complexity,0.03731608062943023
21,complexity / gamma,complexity / gamma,0.030259540494129267
21,gamma / tolerance,gamma / tolerance,0.011188988237760027
21,complexity / gamma / tolerance,complexity / gamma / tolerance,0.0071271505835320895
21,tolerance,tolerance,0.0057539430340324445
21,imputation,imputation,0.0015523084276922784
21,shrinking,shrinking,0.00012762285748285445
7592,gamma,gamma,0.8075941087722546
7592,complexity,complexity,0.034586031093803385
7592,complexity / gamma,complexity / gamma,0.06875509464555996
7592,gamma / tolerance,gamma / tolerance,0.03154063973842637
7592,complexity / gamma / tolerance,complexity / gamma / tolerance,0.014448576947329313
7592,tolerance,tolerance,0.013607824847891126
7592,imputation,imputation,0.0017625835286936026
7592,shrinking,shrinking,0.0004070285060456681
28,gamma,gamma,0.892089343780065
28,complexity,complexity,0.03738061076700082
28,complexity / gamma,complexity / gamma,0.03116079588076337
28,gamma / tolerance,gamma / tolerance,0.01277920158129495
28,complexity / gamma / tolerance,complexity / gamma / tolerance,0.005982669217489981
28,tolerance,tolerance,0.005709938365152237
28,imputation,imputation,0.00019955310198328463
28,shrinking,shrinking,0.0002850285281349931
9976,gamma,gamma,0.6538829976134304
9976,complexity,complexity,0.12532242104002786
9976,complexity / gamma,complexity / gamma,0.16198554563132983
9976,gamma / tolerance,gamma / tolerance,0.0077705420779662256
9976,complexity / gamma / tolerance,complexity / gamma / tolerance,0.010212195930658911
9976,tolerance,tolerance,0.004583607748659301
9976,imputation,imputation,0.0005960107161838216
9976,shrinking,shrinking,5.967958848931351e-05
9981,gamma,gamma,0.680322360204445
9981,complexity,complexity,0.17567168624198853
9981,complexity / gamma,complexity / gamma,0.10239570858369174
9981,gamma / tolerance,gamma / tolerance,0.008070875389527141
9981,complexity / gamma / tolerance,complexity / gamma / tolerance,0.006190284318266451
9981,tolerance,tolerance,0.00745119700328697
9981,imputation,imputation,0.0002545230494541261
9981,shrinking,shrinking,0.0009106858920308776
14965,gamma,gamma,0.7151374281917088
14965,complexity,complexity,0.020651148763200466
14965,complexity / gamma,complexity / gamma,0.13513191326839757
14965,gamma / tolerance,gamma / tolerance,0.02138234886623229
14965,complexity / gamma / tolerance,complexity / gamma / tolerance,0.02660700002396299
14965,tolerance,tolerance,0.012306472385637162
14965,imputation,imputation,0.0003964803006536069
14965,shrinking,shrinking,0.0011555152738555654
3560,gamma,gamma,0.6839245173278257
3560,complexity,complexity,0.04509894260710475
