task_id,param_id,param_name,variance_contribution
9978,gamma / tol,gamma / tol,0.05026645782550647
9978,coef0,coef0,0.09265192966918057
9978,tol,tol,0.05852646278711146
9978,imputation,imputation,0.0020928862780172754
9978,shrinking,shrinking,0.0020849594950631068
10093,gamma,gamma,0.7671143996458765
10093,complexity / gamma,complexity / gamma,0.07532048042781125
10093,complexity,complexity,0.05570187417408859
10093,coef0 / gamma,coef0 / gamma,0.025171733950742237
10093,gamma / tol,gamma / tol,0.0036889521079456196
10093,coef0,coef0,0.022209326999074578
10093,tol,tol,0.0015510694763761772
10093,imputation,imputation,0.0002894391946676218
10093,shrinking,shrinking,8.907508748262452e-05
6,gamma,gamma,0.8349593364044355
6,complexity / gamma,complexity / gamma,0.07885391512755924
6,complexity,complexity,0.04096637963587635
6,coef0 / gamma,coef0 / gamma,0.007916919830538993
6,gamma / tol,gamma / tol,0.0036653467830673014
6,coef0,coef0,0.00436304129969028
6,tol,tol,0.002139183301989246
6,imputation,imputation,0.00020339634387497234
6,shrinking,shrinking,0.000509314625117957
3954,gamma,gamma,0.7754052101932283
3954,complexity / gamma,complexity / gamma,0.056690047031473956
3954,complexity,complexity,0.023820769672079144
3954,coef0 / gamma,coef0 / gamma,0.03532203475527251
3954,gamma / tol,gamma / tol,0.011374085841415818
3954,coef0,coef0,0.026342598236044068
3954,tol,tol,0.004258378646171332
3954,imputation,imputation,0.0004978227212038417
3954,shrinking,shrinking,0.00019956875746399323
9986,gamma,gamma,0.911222368153586
9986,complexity / gamma,complexity / gamma,0.02627713109532659
9986,complexity,complexity,0.00899966410627146
9986,coef0 / gamma,coef0 / gamma,0.014544179451080663
9986,gamma / tol,gamma / tol,0.00425715114145866
9986,coef0,coef0,0.009615183317663797
9986,tol,tol,0.0014523538719012127
9986,imputation,imputation,0.0002255263933991192
9986,shrinking,shrinking,1.2140852162233521e-05
10101,gamma,gamma,0.27794340298937675
10101,complexity / gamma,complexity / gamma,0.09082019052881518
10101,complexity,complexity,0.03619529123765845
10101,coef0 / gamma,coef0 / gamma,0.06121031890179096
10101,gamma / tol,gamma / tol,0.1408657016835521
10101,coef0,coef0,0.029988259395857968
10101,tol,tol,0.05920608059224076
10101,imputation,imputation,0.002169692575214212
10101,shrinking,shrinking,0.004641430429770062
3899,gamma,gamma,0.6147149327754978
3899,complexity / gamma,complexity / gamma,0.10071447315943438
