task_id,min. samples leaf,max. features,bootstrap,min. samples split,split criterion,imputation
Task 9983,0.6692498207862665,0.13330080673881506,0.04810334226187174,0.0036962567093002142,0.007248657035230161,0.0002742264205539036
Task 3913,0.1343103564110605,0.1745154752270111,0.09622483485349659,0.005269722867093481,0.0010875147903090729,0.0013279462394087292
Task 146195,0.6101332014319832,0.15050662619399133,0.07045031525650447,0.0009264178845399549,0.0018125506447726912,0.0005144087291710361
Task 34537,0.8314474934182515,0.04899390445878635,0.02884584630384696,0.0024682816462200776,9.644493851744274e-05,0.00016191669327941186
Task 34536,0.7902518413907913,0.04086045059055178,0.0619737348844884,0.0011527087889233942,0.0003829439108680013,0.00011273384403728723
Task 9957,0.4678807425247883,0.09387084277417189,0.009957767497741883,0.005466173295346368,0.027087818272704976,0.0008231698545653541
Task 3493,0.42416182624636894,0.20658709908933443,0.19537217712426896,0.004246954749131495,3.7936993243894776e-05,0.00048375257124713434
Task 3904,0.10401366160676753,0.2587396979440787,0.029916791092519702,0.0019327080844293676,0.0005707024485745931,0.0006527115686965057
Task 3021,0.2526988184188884,0.4972909488936549,0.04571850331339845,0.0006634860894034039,0.002178469667726616,0.00041917107934288
Task 9960,0.22410027142441108,0.5255553278712037,0.03158650252511734,0.0011737953527985062,0.0178714711998688,0.00039226108544649176
Task 3561,0.03733853423743193,0.1577588884612613,0.33426120709979135,0.005295580948859603,0.003043326554817178,0.0006473734537631184
Task 3022,0.6875116815403324,0.19300783622352188,0.016778846094785416,0.002754953599556202,0.0006186625472491036,0.0003194885419659647
Task 24,0.6868935939954203,0.041202637160399874,0.046600305042729585,0.0007177876803571002,0.0008027429559419836,0.0003203086770804653
Task 9978,0.11842664335355915,0.24461698597319534,0.07242538349869775,0.0038916038782455895,0.020683486749278345,0.0010446111655979026
Task 10093,0.595882079577199,0.014112799091061353,0.10234325820990922,0.0038077829032492167,0.0006359061575935878,0.0005375950389619722
Task 6,0.6290418248364729,0.19403603833853916,0.05506077265195389,0.0028631316541676104,7.540749968718081e-05,0.00030512491570618285
Task 3954,0.6434637806056709,0.10926024922703229,0.0014043800850583755,0.004258280864011709,0.002228185115042698,0.0002626884069469263
Task 9986,0.29611749397067233,0.516098772556949,0.007972939327911361,0.0012992711806450697,0.02348898696642538,0.00019496030248865973
Task 10101,0.2983117720720051,0.09347665635585128,0.0023750231587719196,0.009005344016723158,0.0014185062886607023,0.0010764015704106621
Task 3899,0.6252446063598678,0.12429942642663418,0.13661424799957386,0.00342092321397923,0.0021655332156359313,0.00019716381513648997
Task 3510,0.5320345133572519,0.3100479270393652,0.03506716756654062,0.0035904369748003978,6.22129784635629e-05,0.0001561317966595583
Task 9980,0.020401455802092225,0.18807544575990795,0.23478172876292489,0.004159323930477547,0.010395026202988664,0.0007535730134246259
Task 34539,0.8851947493716126,0.0016593184793026654,0.011349931126096379,0.002268363783446273,0.019343624055602335,0.00014203378477878066
Task 31,0.21951223418888055,0.24989801091102326,0.0035002705996801152,0.006241943765796555,0.0028518519435774582,0.0010840222941106447
Task 125921,0.45427033817757806,0.11331669953482162,0.0598154905652829,0.005903216367962898,0.0011820815635420726,0.0005234928404073661
Task 41,0.7212694737968977,0.011255391202600837,0.0803282627809693,0.0010582814556588265,0.0035766750695091724,0.0005667056285716095
Task 9955,0.6089104645904518,0.14698413508438413,0.05284594296326336,0.008479796055707992,0.0008556823784946503,0.00011391911852620299
Task 11,0.012043614400986589,0.33778636178123456,0.47324152517339435,0.001338059604455656,0.01558431165264381,0.0002501333947538586
Task 20,0.3229062520020544,0.4388181023931721,0.009387308156299538,0.001399181128866855,0.00027296183551254566,0.0003268876391875414
Task 3917,0.0246414037515642,0.16098979444730876,0.2954285884255118,0.0028097460765473857,0.0007769068372712978,0.0010487045735874233
Task 21,0.30115475174787265,0.42741098719042436,0.04054963710652959,0.0021849445698875914,0.00048780952266718895,0.0003386654024550514
Task 7592,0.10066774397698552,0.2773007250855979,0.15337716326810535,0.004804096117334319,0.00020128805057682174,0.0003670267008790719
Task 28,0.2658065922988777,0.5985516573275573,0.0018675601819856495,0.000995585465952093,0.00021541451438365674,0.0001671724869383836
Task 9976,0.030054997857924065,0.3431264360994126,0.18244196724416628,0.0011595313819288502,0.0028465698665182523,0.00037897150151374826
Task 9981,0.7000846468236815,0.129735095662604,0.0021409971361485126,0.0008267302676080619,0.03409673919625897,0.00011663620494213805
Task 14965,0.015252927670048128,0.4434882308655205,0.07140801779090432,0.0017149140335142494,0.0054226665139388945,0.0004862525991582463
Task 3560,0.20437066577174107,0.3304305298654281,0.02180117286842958,0.0045460191679547015,0.0006855259721190219,0.0008794735763721661
Task 3891,0.21039007429614626,0.3359289321954773,0.05423765759784536,0.0008664963006019693,0.09645976537796722,0.00035778345955338675
Task 37,0.05003821314710219,0.20280468844173338,0.008610499123454757,0.005957232795350874,0.002063736296894532,0.0037274567861071426
Task 14,0.3122576926330115,0.426202889636368,0.0339128563394521,0.0018213493226497833,0.04412003407647294,0.00046065349156683
Task 3948,0.12864689784386302,0.20826001142023845,0.0087336623861988,0.010927851613411688,0.007891828042289708,0.0024738273666953287
Task 3494,0.7392818094075118,0.02069092069199089,0.04623732520478435,0.0006603284190707754,4.4746145943292236e-05,0.00013752703002783495
Task 29,0.022155075738156137,0.0830348927424219,0.14047265376361925,0.0058061238834261775,0.0034531225887261276,0.05473844926716266
Task 146607,0.024221868357874335,0.37372241945998846,0.06557031000665237,0.0020253095800915255,0.01005491961563734,0.0024122804697002077
