,hyperparameter,importance_max_min,importance_variance,n_hyperparameters,task_id
43,learning_rate_decay / momentum,15.639633382196322,0.016510062938893712,2,cifar100
44,learning_rate_decay / patience,15.358934352449964,0.0011438093189092824,2,cifar100
45,learning_rate_decay / resize_crop,0.4266315252687889,0.00029480206258182464,2,cifar100
46,learning_rate_decay / shuffle,0.756392097790588,1.7845725265947772e-05,2,cifar100
47,learning_rate_decay / tolerance,12.185288626375545,8.482685467963168e-05,2,cifar100
48,learning_rate_decay / vertical_flip,0.35467936825887136,0.0006557471644727288,2,cifar100
49,learning_rate_decay / weight_decay,23.090472044802745,0.0033737458635628836,2,cifar100
50,learning_rate_init / momentum,47.88680473474372,0.022798568733138423,2,cifar100
51,learning_rate_init / patience,42.35410305290043,0.001909332765640299,2,cifar100
52,learning_rate_init / resize_crop,34.79197649270543,0.0008429034682004947,2,cifar100
53,learning_rate_init / shuffle,34.987136585733865,2.6258362550547077e-05,2,cifar100
54,learning_rate_init / tolerance,42.688793206589665,0.00032972312013832006,2,cifar100
55,learning_rate_init / vertical_flip,35.05629769431262,0.0005581384895144428,2,cifar100
56,learning_rate_init / weight_decay,46.44375800389755,0.02314854158661022,2,cifar100
57,momentum / patience,10.799200566481353,0.006441706215930166,2,cifar100
58,momentum / resize_crop,8.073300684918763,0.0014743633340082336,2,cifar100
59,momentum / shuffle,7.287774014608644,3.946691336490987e-05,2,cifar100
60,momentum / tolerance,8.441280592133992,0.0020393469046980457,2,cifar100
61,momentum / vertical_flip,7.712008889290686,0.0012301283272567827,2,cifar100
62,momentum / weight_decay,15.988874222003695,0.010719542182250116,2,cifar100
63,patience / resize_crop,0.0,0.0004256047899817567,2,cifar100
64,patience / shuffle,0.0,8.842055230286402e-05,2,cifar100
65,patience / tolerance,4.118111397383842,0.0005200231795212183,2,cifar100
66,patience / vertical_flip,0.0,0.00013029821807102805,2,cifar100
67,patience / weight_decay,12.356631438196722,0.022197672329327598,2,cifar100
68,resize_crop / shuffle,1.640558853695893,3.270552838064434e-06,2,cifar100
69,resize_crop / tolerance,1.570699737755639,4.124899332966779e-06,2,cifar100
70,resize_crop / vertical_flip,2.0230937216177196,2.1922405406523532e-07,2,cifar100
71,resize_crop / weight_decay,9.961161108276379,0.0022052584017344156,2,cifar100
72,shuffle / tolerance,0.6471054262361662,0.00017428497076125402,2,cifar100
73,shuffle / vertical_flip,1.1424944459113675,1.2053488104290414e-06,2,cifar100
74,shuffle / weight_decay,9.15899402346679,0.0002846142150382578,2,cifar100
75,tolerance / vertical_flip,0.185827976280315,8.341827628081922e-05,2,cifar100
76,tolerance / weight_decay,9.165262225636397,0.00019680756096221043,2,cifar100
77,vertical_flip / weight_decay,9.25996359018341,0.0026414723232718053,2,cifar100
0,batch_size,8.46570730345546,0.11627857635921138,1,fmnist
1,epochs,11.191962531201156,0.00870999993827946,1,fmnist
2,horizontal_flip,0.688356228352248,0.006017565925736752,1,fmnist
3,learning_rate_decay,0.5813705838711201,0.0007324413930002655,1,fmnist
4,learning_rate_init,56.29523345082666,0.18348570866908526,1,fmnist
5,momentum,21.12335470286949,0.09877446148983089,1,fmnist
6,patience,1.460835334429234,0.006716940623005696,1,fmnist
7,resize_crop,0.8784744300053546,0.00305099842950543,1,fmnist
8,shuffle,0.0553420080500473,0.00026331942836274234,1,fmnist
9,tolerance,3.3890968985462564,0.011481696327730734,1,fmnist
10,vertical_flip,0.0443087226430805,0.00011154158593021324,1,fmnist
11,weight_decay,6.784876444928869,0.06601706147029213,1,fmnist
12,batch_size / epochs,24.130658466451962,0.005441824376823845,2,fmnist
13,batch_size / horizontal_flip,0.7392898386845417,0.00035684002223481385,2,fmnist
14,batch_size / learning_rate_decay,8.754332967074362,0.0004625723896545886,2,fmnist
15,batch_size / learning_rate_init,66.63581761918397,0.0451582980611937,2,fmnist
16,batch_size / momentum,25.166065416870012,0.026941700297104566,2,fmnist
17,batch_size / patience,9.956231568192138,0.005892333453915412,2,fmnist
18,batch_size / resize_crop,0.5468002365190472,0.0031787604128579398,2,fmnist
19,batch_size / shuffle,0.09528897668486991,0.0007667628587650264,2,fmnist
20,batch_size / tolerance,9.201224054117986,0.0018573431607138548,2,fmnist
21,batch_size / vertical_flip,0.19336008640836155,0.0003250288361479255,2,fmnist
22,batch_size / weight_decay,24.011746874915545,0.12735059851510352,2,fmnist
23,epochs / horizontal_flip,0.8769432537959858,2.3724590210135375e-05,2,fmnist
24,epochs / learning_rate_decay,11.991678505426663,6.220694207375734e-05,2,fmnist
25,epochs / learning_rate_init,76.71446718633744,0.005407665591117677,2,fmnist
26,epochs / momentum,38.30711468193753,0.002979598820605803,2,fmnist
27,epochs / patience,13.064195230911622,0.0003549322238084454,2,fmnist
28,epochs / resize_crop,0.0012768111521808123,0.0007293319181935599,2,fmnist
29,epochs / shuffle,0.05733489220492061,0.0001580222688807953,2,fmnist
30,epochs / tolerance,15.123162399213783,0.0004795661257600033,2,fmnist
31,epochs / vertical_flip,0.03104057561353102,5.7554211366494496e-05,2,fmnist
32,epochs / weight_decay,15.869376993016687,0.0020666614579242073,2,fmnist
33,horizontal_flip / learning_rate_decay,1.2656829245369323,7.051474754605897e-08,2,fmnist
34,horizontal_flip / learning_rate_init,56.879538361783744,0.022291483760231705,2,fmnist
35,horizontal_flip / momentum,21.813454793647963,8.764138962598532e-05,2,fmnist
36,horizontal_flip / patience,2.157820999462544,3.014659776300525e-05,2,fmnist
37,horizontal_flip / resize_crop,1.5668306583575742,5.591144923135239e-06,2,fmnist
38,horizontal_flip / shuffle,0.7436982364022242,6.150365054301533e-08,2,fmnist
39,horizontal_flip / tolerance,3.6489705101516137,3.5356818141984172e-06,2,fmnist
40,horizontal_flip / vertical_flip,0.755508777297166,5.101482061195148e-05,2,fmnist
41,horizontal_flip / weight_decay,7.451971636601058,1.2622099986010657e-05,2,fmnist
42,learning_rate_decay / learning_rate_init,58.31992697288758,0.001189813597077127,2,fmnist
43,learning_rate_decay / momentum,22.25288935391913,0.00044079857364462443,2,fmnist
44,learning_rate_decay / patience,2.0789872311349598,3.5914547100910394e-05,2,fmnist
45,learning_rate_decay / resize_crop,0.8975169584044238,4.5287170534985e-06,2,fmnist
46,learning_rate_decay / shuffle,0.21672073458103114,6.154985464061407e-07,2,fmnist
47,learning_rate_decay / tolerance,3.5612081282145738,1.2361790705138617e-05,2,fmnist
48,learning_rate_decay / vertical_flip,0.10108591492624441,4.063337265190594e-06,2,fmnist
49,learning_rate_decay / weight_decay,7.346490957338972,0.00023045429064128307,2,fmnist
50,learning_rate_init / momentum,60.388221149922984,0.037085001205365606,2,fmnist
51,learning_rate_init / patience,57.03779969551703,0.02226315328882828,2,fmnist
52,learning_rate_init / resize_crop,46.480968375905675,0.0005643215978380883,2,fmnist
53,learning_rate_init / shuffle,47.46482585470057,8.115698856964659e-05,2,fmnist
54,learning_rate_init / tolerance,57.176604999147614,0.03952569685929032,2,fmnist
55,learning_rate_init / vertical_flip,48.165528398172825,4.718724180476902e-05,2,fmnist
56,learning_rate_init / weight_decay,62.54486872921072,0.08018510601750375,2,fmnist
57,momentum / patience,22.60295714920443,8.363256761742449e-05,2,fmnist
58,momentum / resize_crop,20.174005063059198,0.0004936627792068368,2,fmnist
59,momentum / shuffle,19.88404685676693,0.00038878389288217366,2,fmnist
60,momentum / tolerance,23.977723308807683,0.00035488182493129583,2,fmnist
61,momentum / vertical_flip,19.777014945769693,6.339730981704291e-05,2,fmnist
62,momentum / weight_decay,28.000753898720006,0.0011463937478993274,2,fmnist
63,patience / resize_crop,0.0,0.0002662604204403244,2,fmnist
64,patience / shuffle,0.0,1.541439305343805e-05,2,fmnist
65,patience / tolerance,4.3541233729588384,1.2601560297028929e-05,2,fmnist
66,patience / vertical_flip,0.0,6.461895295174835e-05,2,fmnist
67,patience / weight_decay,8.172129056831793,0.00041505284816786836,2,fmnist
68,resize_crop / shuffle,0.9338164380554019,3.250215589066049e-07,2,fmnist
69,resize_crop / tolerance,3.6615177322937598,0.0001692284109780627,2,fmnist
70,resize_crop / vertical_flip,0.9227831526484493,1.7885659993876136e-05,2,fmnist
71,resize_crop / weight_decay,7.440517734142418,0.0003030602636729892,2,fmnist
72,shuffle / tolerance,3.0170270108893362,9.013520516594724e-06,2,fmnist
73,shuffle / vertical_flip,0.09965073069311359,8.559057476568834e-08,2,fmnist
74,shuffle / weight_decay,6.820564716550535,1.6255338602422277e-05,2,fmnist
75,tolerance / vertical_flip,2.770457814111367,1.0631292268907833e-05,2,fmnist
76,tolerance / weight_decay,9.394740305542456,0.0003061448620882988,2,fmnist
77,vertical_flip / weight_decay,6.909021520471697,6.121102033833007e-05,2,fmnist
0,batch_size,2.1216822656025727,0.012252802494163299,1,dvc
1,epochs,11.064865510152288,0.007780221172718728,1,dvc
2,horizontal_flip,0.05410556098203756,1.9158034207494247e-05,1,dvc
3,learning_rate_decay,1.00778278569706,0.006918837579858887,1,dvc
4,learning_rate_init,11.9166044753376,0.011338175794551065,1,dvc
5,momentum,10.99843478964857,0.011390610080104866,1,dvc
6,patience,3.902587489878769,0.040838563728108956,1,dvc
7,resize_crop,0.09839103689689921,0.0013181032864772934,1,dvc
8,shuffle,33.1742951101859,0.7174598595486789,1,dvc
9,tolerance,0.670245241696577,0.0004255474770343271,1,dvc
10,vertical_flip,0.21645307569055205,0.0007202360970658682,1,dvc
11,weight_decay,4.045041240279815,0.009188126027254143,1,dvc
12,batch_size / epochs,11.9882377277184,0.0024998024102975565,2,dvc
13,batch_size / horizontal_flip,0.7916158935641846,5.295031086629719e-06,2,dvc
14,batch_size / learning_rate_decay,3.168704082298433,5.8915344402993647e-05,2,dvc
15,batch_size / learning_rate_init,13.399329443328291,0.0006796189837136972,2,dvc
16,batch_size / momentum,14.791664365464918,0.003635311000384291,2,dvc
17,batch_size / patience,5.937790430057376,0.0016470844622909733,2,dvc
18,batch_size / resize_crop,1.0021832539542288,0.0029626481516684495,2,dvc
19,batch_size / shuffle,34.490298219542275,0.01225006214310277,2,dvc
20,batch_size / tolerance,2.8780268901610384,2.7093918679873815e-05,2,dvc
21,batch_size / vertical_flip,1.0298607893877687,3.1145723233592875e-06,2,dvc
22,batch_size / weight_decay,5.7785790737504215,0.0004593633942822527,2,dvc
23,epochs / horizontal_flip,0.06228864846504223,3.494836901013635e-05,2,dvc
24,epochs / learning_rate_decay,12.487342898590413,0.00018459335974441366,2,dvc
25,epochs / learning_rate_init,17.741797591284396,0.0006589526582536397,2,dvc
26,epochs / momentum,16.241233230008255,0.0013516869663713399,2,dvc
27,epochs / patience,14.33615805911166,0.0016533206634624206,2,dvc
28,epochs / resize_crop,0.03696937547451995,6.844545509165395e-05,2,dvc
29,epochs / shuffle,14.065072106062232,0.007692509142518825,2,dvc
30,epochs / tolerance,11.651764725641662,7.57959913811367e-05,2,dvc
31,epochs / vertical_flip,0.005618333964349631,0.0003664179863843911,2,dvc
32,epochs / weight_decay,13.652278460092496,0.0029402451079598045,2,dvc
33,horizontal_flip / learning_rate_decay,1.0589416870920019,1.3142873860529072e-06,2,dvc
34,horizontal_flip / learning_rate_init,11.929906572284665,1.2157235946733375e-06,2,dvc
35,horizontal_flip / momentum,11.022592207859084,1.7700320912233923e-06,2,dvc
36,horizontal_flip / patience,3.9508648511467186,8.698499224081428e-07,2,dvc
37,horizontal_flip / resize_crop,0.15249659787887992,1.2710971069645244e-05,2,dvc
38,horizontal_flip / shuffle,33.22840067116793,1.9010958489952927e-05,2,dvc
39,horizontal_flip / tolerance,0.6357496499071686,6.251024801120464e-07,2,dvc
40,horizontal_flip / vertical_flip,0.27055863667253277,4.05878417337188e-07,2,dvc
41,horizontal_flip / weight_decay,4.1017169613812285,1.0836321024322293e-05,2,dvc
42,learning_rate_decay / learning_rate_init,13.036408148315132,1.1164339926776448e-05,2,dvc
43,learning_rate_decay / momentum,12.035290828774535,0.0002867450424856708,2,dvc
44,learning_rate_decay / patience,5.206132709455403,0.007909528281317494,2,dvc
45,learning_rate_decay / resize_crop,0.33307887602549613,2.257476777876671e-05,2,dvc
46,learning_rate_decay / shuffle,33.54008941725765,0.001271411838642787,2,dvc
47,learning_rate_decay / tolerance,1.6295579113077565,0.0004605097662555404,2,dvc
48,learning_rate_decay / vertical_flip,0.3679993328041178,2.0164135880613788e-07,2,dvc
49,learning_rate_decay / weight_decay,4.9851620739219555,5.428743457937955e-06,2,dvc
50,learning_rate_init / momentum,14.1888883218721,0.0007459253765100844,2,dvc
51,learning_rate_init / patience,13.022181580924254,0.008240359796861723,2,dvc
52,learning_rate_init / resize_crop,9.526698010184553,0.00045813852687198774,2,dvc
53,learning_rate_init / shuffle,20.553951229912087,0.011358057189297435,2,dvc
54,learning_rate_init / tolerance,12.278677470362474,6.638356928901479e-06,2,dvc
55,learning_rate_init / vertical_flip,9.641161582936412,1.7669390125380205e-05,2,dvc
56,learning_rate_init / weight_decay,13.767364322692266,0.00017000112996615592,2,dvc
57,momentum / patience,14.779421689487535,0.0002262075132052419,2,dvc
58,momentum / resize_crop,10.052137673768051,1.650246096583502e-05,2,dvc
59,momentum / shuffle,33.23376876946448,0.01144375848489082,2,dvc
60,momentum / tolerance,11.598442220622218,2.8420015057989227e-05,2,dvc
61,momentum / vertical_flip,10.119663849513238,0.00026485153928786336,2,dvc
62,momentum / weight_decay,14.458233589500537,0.0006625571783390647,2,dvc
63,patience / resize_crop,0.0,0.0007491217594026366,2,dvc
64,patience / shuffle,0.0,0.02982238307578433,2,dvc
65,patience / tolerance,4.1882161782744305,0.0005061211211417381,2,dvc
66,patience / vertical_flip,0.0,7.135609772482684e-07,2,dvc
67,patience / weight_decay,7.177986968320852,0.0008987310702187157,2,dvc
68,resize_crop / shuffle,33.32150459253584,0.0013304585449265313,2,dvc
69,resize_crop / tolerance,0.7729247595995901,3.503903049349956e-06,2,dvc
70,resize_crop / vertical_flip,0.31484411258742284,1.0647790167147546e-06,2,dvc
71,resize_crop / weight_decay,4.370220298106162,0.0001825385272277241,2,dvc
72,shuffle / tolerance,34.6504889093057,0.0005837561496262213,2,dvc
73,shuffle / vertical_flip,33.390957517158206,0.0007202401515577801,2,dvc
74,shuffle / weight_decay,37.96558491231965,0.009111908952296481,2,dvc
75,tolerance / vertical_flip,0.17781776244996195,9.411649285480165e-07,2,dvc
76,tolerance / weight_decay,4.400067267121301,0.0001186074459595017,2,dvc
77,vertical_flip / weight_decay,4.296108211314063,0.00046872531080348616,2,dvc
0,batch_size,1.7098625953434734,0.006402774876760945,1,flower
1,epochs,14.074480343528691,0.011228237522654802,1,flower
2,horizontal_flip,0.14386897359365491,3.474319555683339e-05,1,flower
3,learning_rate_decay,2.5305036464605593,0.008760527965541734,1,flower
4,learning_rate_init,21.62791880761366,0.0040240507810614425,1,flower
5,momentum,7.13485315047037,0.0031447258094511434,1,flower
6,patience,1.2491940799059122,0.0027374493604034006,1,flower
7,resize_crop,0.046520104393820816,0.00020230967243433553,1,flower
8,shuffle,47.40905437971311,0.8667553923137639,1,flower
9,tolerance,2.367406193547474,0.0003083541425322657,1,flower
10,vertical_flip,0.44642759868209936,0.0005513705799380884,1,flower
11,weight_decay,1.9170227607295516,0.007584555713043227,1,flower
12,batch_size / epochs,18.83306836095138,0.0009121978741955012,2,flower
13,batch_size / horizontal_flip,0.3881376716825926,1.7685504421592617e-05,2,flower
14,batch_size / learning_rate_decay,4.334699734493455,0.0001389377185660143,2,flower
15,batch_size / learning_rate_init,24.125774502097737,0.00214860929598316,2,flower
16,batch_size / momentum,9.234823477320383,0.0006859044276113014,2,flower
17,batch_size / patience,2.906200703071299,0.0011236345419309483,2,flower
18,batch_size / resize_crop,0.4940311707189764,0.001822967077177041,2,flower
19,batch_size / shuffle,49.21454091221256,0.00647356576157531,2,flower
20,batch_size / tolerance,4.040974247380312,3.7038092015970344e-05,2,flower
21,batch_size / vertical_flip,0.643153493084661,0.00019377780584150375,2,flower
22,batch_size / weight_decay,3.5451254461602204,5.08119374432195e-05,2,flower
23,epochs / horizontal_flip,0.16392000260691475,4.5886146595680135e-05,2,flower
24,epochs / learning_rate_decay,16.407483609933415,0.001203818081517375,2,flower
25,epochs / learning_rate_init,29.67599110983836,0.00046199507094931954,2,flower
26,epochs / momentum,19.92656090157777,0.0006816748150617035,2,flower
27,epochs / patience,15.395051093811354,0.0011061427309536948,2,flower
28,epochs / resize_crop,0.4149122779423209,0.0003529933662733528,2,flower
29,epochs / shuffle,23.934777222288034,0.00960521303729085,2,flower
30,epochs / tolerance,17.40020331117948,0.00017477832314182677,2,flower
31,epochs / vertical_flip,0.1454459287473071,0.00014538908767942568,2,flower
32,epochs / weight_decay,15.844445286799356,0.0005672243070092601,2,flower
33,horizontal_flip / learning_rate_decay,2.72057440889661,6.43129891585852e-06,2,flower
34,horizontal_flip / learning_rate_init,21.485978695374524,4.5470698344799624e-06,2,flower
35,horizontal_flip / momentum,7.353422132874286,3.4223658741522235e-05,2,flower
36,horizontal_flip / patience,1.3677856724406539,8.07902024747092e-06,2,flower
37,horizontal_flip / resize_crop,0.20767201537284308,1.6714766896412252e-05,2,flower
38,horizontal_flip / shuffle,47.55292335330678,3.2345460648105804e-05,2,flower
39,horizontal_flip / tolerance,2.497008445394137,6.733293390170976e-07,2,flower
40,horizontal_flip / vertical_flip,0.5902965722757685,9.585099510796349e-08,2,flower
41,horizontal_flip / weight_decay,2.0198835710843284,4.341303362615286e-06,2,flower
42,learning_rate_decay / learning_rate_init,23.505721243427047,0.002591318028260996,2,flower
43,learning_rate_decay / momentum,10.075255804358193,6.890949859302575e-05,2,flower
44,learning_rate_decay / patience,3.858535628051868,0.00013839996846921768,2,flower
45,learning_rate_decay / resize_crop,0.13633999478933845,2.027336106450498e-05,2,flower
46,learning_rate_decay / shuffle,51.01595531573509,0.009161149520016986,2,flower
47,learning_rate_decay / tolerance,4.546117052436131,3.5566539840793464e-05,2,flower
48,learning_rate_decay / vertical_flip,0.20850373946015566,0.00020406221988201694,2,flower
49,learning_rate_decay / weight_decay,3.6957031380164906,0.000849525832522138,2,flower
50,learning_rate_init / momentum,24.91999391977695,0.00010232892302366176,2,flower
51,learning_rate_init / patience,22.8329422706438,0.00012475309186101588,2,flower
52,learning_rate_init / resize_crop,19.238286502630597,0.0003688425544110176,2,flower
53,learning_rate_init / shuffle,40.28276960721149,0.004415114859496806,2,flower
54,learning_rate_init / tolerance,23.262345465953505,0.00014083050450506212,2,flower
55,learning_rate_init / vertical_flip,19.608714398569823,5.465090305256148e-06,2,flower
56,learning_rate_init / weight_decay,24.031074982902137,4.3396190674395004e-05,2,flower
